Word,Definition,Example,Point,Category,Level
Prescription,A written order from a doctor for a specific medicine or treatment.,The doctor gave me a prescription for antibiotics.,1,Health,B2
Band-aid,A small adhesive strip used to cover and protect minor cuts or wounds.,I put a band-aid on the cut to stop it from bleeding.,1,Health,B1
Cut back on,To reduce the amount or frequency of something.,I’m trying to cut back on eating junk food.,1,General,B2
Breakouts,"Sudden occurrences of skin problems, especially pimples or acne.",Stress often causes me to have breakouts on my face.,1,Health,B2
Topical treatment,A medicine applied directly to the skin rather than taken by mouth.,The dermatologist recommended a topical treatment for my acne.,1,Health,C1
Numbing gel,A topical substance that reduces or blocks sensation in the skin.,The dentist applied a numbing gel before giving me the injection.,1,Health,C1
Hand off to,To transfer responsibility or control of something to another person.,I’ll hand off the project to Sarah when I go on vacation.,1,Business,B2
Bounce over to,"To quickly go or move to another place, often informally.",I’ll bounce over to the store after work to grab some snacks.,1,Social,B2
Scuffle,"A short, confused physical fight or struggle.",The two players got into a brief scuffle on the field.,1,Social,C1
Bugging me,Informal: Annoying or bothering me.,That loud noise is really bugging me.,1,Emotion,B1
Roast me (make fun of me),"To humorously insult or make fun of someone, often in a playful way.",My friends love to roast me about how long I take to get ready.,1,Social,B2
Chill,To relax or take it easy.,Let’s just chill at home tonight and watch a movie.,1,General,B1
Goof off,To waste time or avoid doing work.,Stop goofing off and finish your homework!,1,Education,B2
Blow me off,"To ignore or dismiss someone, often by not showing up or paying attention.",He totally blew me off when we were supposed to meet yesterday.,1,Social,B2
Brush me off,To dismiss or reject someone casually.,She tried to brush me off when I asked about the problem.,1,Social,B2
Swing by for a bit,"To make a short, casual visit.",I’ll swing by for a bit after work to drop off the package.,1,Social,B2
Pop in and say hi,To make a very quick visit just to greet someone.,She popped in to say hi before heading to the airport.,1,Social,B2
How are you holding up,A way of asking how someone is coping in a difficult situation.,I know things have been hard—how are you holding up?,1,Emotion,B2
Hang in,"To stay strong and not give up, especially during tough times.","I know it’s stressful, but hang in—things will get better.",1,Emotion,B2
Fix me up,"To arrange or provide something for someone, often a date or connection.",My friend wants to fix me up with her coworker.,1,Social,B2
Help out,To assist someone with a task or problem.,Can you help out with the dishes tonight?,1,Social,B1
Pitch in,"To contribute effort, money, or help to a group activity.",Everyone should pitch in to clean up after the party.,1,Social,B2
Have got it under control,To be managing a situation successfully.,Don’t worry about the mess—I’ve got it under control.,1,General,B2
Fond of something,To like or enjoy something a lot.,She’s really fond of classical music.,1,Emotion,B1
Put your faith in,To trust or have confidence in someone or something.,I decided to put my faith in the team to finish the project.,1,Emotion,B2
Throwing him a party,To organize a celebration for someone.,We’re throwing him a party for his birthday this weekend.,1,Social,B1
Pay him a visit,To go and see someone.,I’ll pay him a visit while I’m in town.,1,Social,B1
Dreadful,"Very bad, unpleasant, or shocking.",The weather was absolutely dreadful yesterday.,1,Emotion,B2
Stitch,A loop of thread used in sewing; also refers to sudden side pain from exercise.,She learned how to sew a stitch in her clothes. / I got a stitch while running.,1,Health,B2
I have nailed it,To do something perfectly or with great success.,"I practiced for weeks, and I really nailed it during the presentation.",1,General,B2
If you say so!,A phrase used when you don't fully agree but accept what someone says.,A: This movie is the best ever!B:If you say so!,1,Social,B1
Pay off,To bring good results after effort; also to finish paying a debt.,All my hard work finally paid off. / I'll pay off my loan soon.,1,Economic,B2
It is driving me crazy,Something is making you very annoyed or frustrated.,That constant noise is driving me crazy.,1,Emotion,B2
Shut off,To stop something from working or turn it off.,Please shut off the lights before leaving.,1,General,B1
Hit the ground running,To start something quickly and effectively with energy.,She hit the ground running on her first day at the new job.,1,General,C1
Take the blame,To accept responsibility for a mistake or problem.,He decided to take the blame for the accident.,1,General,B2
Mess up,To make a mistake or do something badly.,I really messed up the report by forgetting the main point.,1,General,B1
Halfway through,"In the middle of an activity, period, or process.",We were halfway through the movie when the power went out.,1,General,B1
Sore,"Painful or aching, especially in muscles or skin.",My legs are sore after running yesterday.,1,Health,B1
